rate,comment
width: 20%;,"1. Camera cấm điện vào chỉ toàn hiện đèn vàng. Reset cũng không được
2. Thẻ nhớ gắng vào thì bị kẹt không lấy ra được. Phải dùng nhíp để gấp ra. 
Yêu cầu đổi trả giúp camera mới."
width: 20%;,"Tiki làm ăn quá tệ, sp lỗi không sử dụng được, báo cskh thì hẹn ngày 28/05 sẽ liên hệ để thu hồi sp bảo hành mà đến giờ vẫn chưa thấy ai liên hệ để thu hồi, bực vứt cam luôn!!!!"
width: 40%;,"Tôi có đặt mua 2 camera xiaomi 360 ngày 20/4/20. Sản phẩm không kết nối internet, vẫn chưa sử dụng được.
Tôi cần hỗ trợ TIKI kỹ thuật hoặc cho trả lại hàng."
width: 20%;,"Mua 2 cai đều bị lổi thông báo chuyển động, chọn thông báo cả ngày mà chỉ báo từ 6H đến khoảng 8H là không báo nữa, mình sẽ không mua hàng trên app này nữa."
width: 40%;,"Mình thử bật tắt chế độ xem ban đêm mà vẫn không nhìn thấy gi, cho mình hỏi camera này có hỗ trợ xem ban đêm không?
Mình sẽ đánh giá lại sau khi có câu trả lời."
width: 40%;,Tôi mua camera xiaomi ngày 14/2.sử dụng chưa được 1 tháng mà đã bị mất màu sắc rồi.giờ nhờ tiki và shop liên hệ để bảo hành cho tôi.
width: 20%;,"Hàng ko cài đặt dc. Gọi tổng đài, kỹ thuật vẫn ko cài dc. Lại kêu gọi tổng đài, lại kỹ thuật. Trả lời sp kỹ thuật bên e ko hỗ trợ j j đó. Phức tạp kinh khủng"
width: 20%;,cần cản thận khi mua  giao hàng sai model khác sp. sp ko phải hàng qt ko co adapter cần   xem kỹ  trước khi mua làm ăn mất uy tín
width: 20%;,Lúc mình cắm điện vào để kết nối. Camera không phát âm thanh khởi động như hướng dẫn. Dò tìm bluetooth trên app Mi home không thấy. Mình có thể đổi trả sản phẩm này không?
width: 20%;,sản phẩm giao nhanh nhưng ko kết nối được mạng dù đã thay nhiều modem router. đang đợi tiki để trả hàng
width: 40%;,"Lần đầu tiên mua hàng Tiki bị lỗi. Thiết bị của mình quay trái phải thì được nhưng không thể quay lên, xuống được. Đã thông tin tới Tiki nhưng chưa nhận được phản hồi."
width: 20%;,"Camera không di chuyển lên trên được sau 1 ngày sử dụng, may mà chưa lắp lên, yêu cầu đổi sản phẩm mới  nhanh nhất có thể"
width: 20%;,"Trước đây rất tin tưởng hàng Tiki.
Mua cam này giao Tikinow. về kết nối bt nhưng không thể điều khiển sang trái sang phải được.
Tiki thu hồi đổi sớm giúp.
Cám ơn"
width: 20%;,Tôi đã làm đi làm lại rất nhiều lần mà không thể kết nối camera với app trên iphone. Yêu cầu liên hệ để hỗ trợ tôi lỗi này 0968337559
width: 20%;,"Cho hỏi lúc nào nó cũng bị thế này, k xem được j hết vậy, mạng nhà rất mạnh mà k xem đc, đăng ký 3g dùng thử cũng k đc, cứ thế này hoài"
width: 20%;,Tôi nghi ngờ bản này là bản nội địa vì chọn địa lý là việt nam không thể quyét mã QR và kết nối được chỉ có thể chọn vùng china.đề nghị đổi cho tôi đi
width: 20%;,"Mình vừa mua về kết nối ok. Nhưng sau khi rút điện ra cắm lại thì không thể xem được, ấn nút reset cũng k thấy gì chỉ thấy đèn vàng sáng. Rất mong tiki hỗ trợ"
width: 20%;,"Cam không hoạt động ,bị  treo  đèn vàng và cứ ""waiting for connection "" Quét mã không ăn dù đã thử trên nhiều thiết bị khác nhau .Quá thất vọng !"
width: 20%;,"Máy không kết nối mạng, nút reset không hoạt động sau khi sử dụng một đêm.Máy dẫn còn nguồn nhưng nó đơ cứng nhấn  nút reset như không"
width: 40%;,"Tại sao camera mà không giao Adaptor, sao người ra xài, 2 cái này là mình mua cái thứ 4 rồi, cái nào cũng có adaptor...vui lòng gửi bổ sung gấp😡😡"
width: 40%;,"Dùng được ngày đầu tiên...ngày thứ 2 nóng quá xong tự ngắt. Giờ có reset lại cũng k lên hình được, lỗi kết nối wifi."
width: 20%;,Camera không chớp đèn vàng khi cắm điện vào nên không cài đặt được. Đề nghị được hỗ trợ
width: 20%;,"Camera bị treo đèn vàng, reset hoài vẫn ko được, camera ko bắt tín hiệu. Sản phẩm hiện tại hoàn toàn ko kết nối được với điện thoại"
width: 20%;,Tốn cả buổi tối mà ko thể kết nối camera vào đt được. Làm xong hết các bước theo hướng dẫn nhueng vẫn bị mãi một lỗi connection time out
width: 20%;,Không có cục sạc ở trong hộp???????? Nếu ko có sạc phải ghi chú rỏ ràng? cái này mở ra rồi mới biết không có. Hình chụp có ý nghĩ gì?
width: 40%;,"không hài lòng cái camera xiaomi này, chập chờn lúc kết nối được lúc không, đa phần là không được
còn nhà bán hàng thì ok"
width: 20%;,"Lỗi kết nối, mặc dù khởi động lại nhiều lần vẫn không kết nối lại được. Cần hướng dẫn bảo hành."
width: 20%;,"Tôi vừa mua, lắp thử đã bị lỗi kẹt thẻ nhớ. Bây giờ tôi muốn mang sửa bảo hành thì liên hệ với ai?"
width: 20%;,Không đáng tiền mua - cam dễ tắt - trộm vào mà bấm reset với lấy thẻ ra thì coi như bỏ
width: 40%;,"Mua về lỗi ngay bị 1 vạch, gọi đổi thì nói mất 2 ngày cho kĩ thuật đánh giá. Ko biết bao giờ mới xong"
width: 40%;,"Thiet bi ko ket noi dc wife luc dc luc ko .
Haizzzz...😌"
width: 40%;,Đã lắp đặt lên rồi mà vẫn không kết nối được dù mạng wifi bình thường
width: 20%;,"Hình như sản phẩm bị lỗi, đề là loa 2 chiều nhưng chỉ sử dụng đc 1, mong tiki gọi điện lại giải quyết"
width: 20%;,"Sản phẩm bị lỗi không cài đặt được, lúc phần scan QR code thì camera quét không được,đề nghị trả hàng"
width: 40%;,"Cam hỏng chức năng đàm thoại, khi ấn voice call để đàm thoại có tiếng rít rất ghê tai, ko dùng được chức năng này"
width: 40%;,"Mới nhận hôm nay (26-05-2020), về kết nối liền nhưng không quét được QR code. Vui lòng xử lý giúp. Thanks!"
width: 40%;,"Sản phẩm hình thức đẹp , nhiều chức năng. Kết nối mạng quá kém hiện tại chưa biết khắc phục như nào."
width: 40%;,"Camera bị bụi ống kính, mình cần Tiki bảo hành gấp"
width: 20%;,của người ta có thẻ nhớ của tui không có và cũng không có cục cắm vào ổ cắm điện
width: 20%;,"Sản phẩm quá thất vọng
Luôn ở chế độ sleep mode bật lên chả ăn thua, reset cũng k ăn thua"
width: 20%;,"sử dụng 2 thang thoi không lưu sd card đươc nen đoi sd card mới cũng không đươc.
shop trao đổi hang cho tôi."
width: 20%;,Mua 4 cái đầu ok... Giờ thêm 2 cái nữa thì kết nối k được
width: 20%;,"mình mua 2 cái giao,về mở hộp thiếu adapter,đề nghị tiki làm việc lại với nhà cung cấp"
width: 40%;,Chỉ kết nối đc wifi ở nhà. Ra ngoài ko sử dụng đc luôn
width: 20%;,lúc đầu về kết nối được sau reset lại kết nối không được !
width: 20%;,Mình mua tổng cộng 5 cái nhưng có 1 cái bị lỗi. Đề nghị Tiki ch kiểm tra và đổi giúp mình.
width: 20%;,Mua hai cái nhưng kết nối 1 cái được một cái không
width: 40%;,"sản phẩm hay bị dis ra khoải mihome, lỗi đăng nhập và phải thoát ra reset lại, chán"
width: 40%;,quảng cáo là tặng kèm thẻ mà sao ko có shop ơi
width: 20%;,camera đến đêm lại mất kết nối là sao 😡
width: 20%;,"Kết nối chậm. 
Màu thì cũng không đẹp, mang tiếng 108 mà chả khác 720 là mấy"
width: 20%;,bảo tặng thẻ nhớ lúc nhận ko có ko có cả cuc cắm điện ....tào lao
width: 20%;,Lỗi Không kết nối được. Cần hỗ trợ !
width: 40%;,"Chất lượng gia công kém, được 6 tháng thì không xoay đc nữa"
width: 20%;,Quá tệ. Ko có nhân viên gọi lại hỗ trợ dù đã phản ánh.
width: 20%;,"Camera ban ngày xem bị đỏ lòe.
Nhin camera như đã qua sử dụng"
width: 40%;,"Hàng cũng tương đối OK
Chất lượng thì phải chờ thời gian kiểm chứng"
width: 20%;,"sản phẩm không như quảng cáo, độ phân giải chỉ được 720p. ko có 1080p"
width: 20%;,"Sai được 1 tháng chỉ còn trắng đen ko có màu nữa, thất vọng"
width: 20%;,mua về bật ko lên đèn vàng. mong tiki hỗ trợ mình
width: 20%;,"Mua về ko kết nối dc với app Mi Home, dù mạng rất tốt!"
